label,datatype,species,x_metric,y_metric
01,raw,Bovine,8.76277202395725,-3.080294017334136
01,raw,Bovine,9.09090243727715,-3.3850845695629697
01,raw,Bovine,8.390592897033219,-2.026937415745414
01,raw,Bovine,8.082322704233784,-2.4021374483818265
01,raw,Bovine,13.339922021737022,-3.047977725543995
01,raw,Bovine,12.486360489136917,-3.056040021104262
01,raw,Bovine,11.367965640342302,-2.452337576585645
01,raw,Bovine,9.594792370756617,-3.3498448591490786
01,raw,Bovine,8.938433145940214,-2.3581881801241567
01,raw,Bovine,7.2591730195794355,-2.596970817843722
01,raw,Bovine,10.48158488191624,-3.4242587430344797
01,raw,Bovine,10.14137359751641,-3.4050505389370875
01,raw,Bovine,10.006346283127613,-2.3585515406212343
01,raw,Bovine,10.076349970908538,-3.2053298995982935
01,raw,Bovine,9.305519485205567,-2.927811128623081
01,raw,Bovine,8.804470495795707,-3.054654049505335
01,raw,Bovine,8.505559721130906,-3.1164226599572573
01,raw,Bovine,7.562416311163667,-1.6195457297071953
01,raw,Bovine,8.463549068484138,-1.190136596449581
01,raw,Bovine,11.55603284159305,-3.0095957381883824
01,raw,Bovine,10.14886459335337,-3.4604163731413387
01,raw,Bovine,10.56941735162724,-3.739607064587174
01,raw,Bovine,9.859540947407211,-3.657661821552654
01,raw,Bovine,6.987066460478434,-1.5609013616243792
01,raw,Bovine,9.812776719778455,-2.5701788322556376
01,raw,Bovine,8.690987772271537,-2.876719869367867
01,raw,Bovine,7.434584708459708,-1.3837680996048665
01,raw,Bovine,9.044492844411081,-3.2025659295948863
01,raw,Bovine,6.750685112692275,-3.2942071138809834
01,raw,Bovine,7.455353185293449,-2.2949577707465094
01,raw,Bovine,6.462023288030487,-2.5639397066130747
01,raw,Bovine,8.597152693859677,-2.4576169990631045
01,raw,Bovine,5.416882810377328,-1.7454552468776379
01,raw,Bovine,11.100115298840914,-3.1281692679062103
01,raw,Bovine,9.158061531381925,-3.450611241955282
01,raw,Bovine,10.054750365297052,-1.864768360934842
01,raw,Bovine,9.849139240694742,-2.2005130671698097
01,raw,Bovine,9.922103444571661,-3.1084550621099147
01,raw,Bovine,9.376803830488896,-2.7946486484402526
01,raw,Bovine,9.010072520518705,-3.2153107973771182
01,raw,Bovine,8.77741245106114,-2.8019513072149156
01,raw,Bovine,7.157059455167536,-3.0832896294620658
01,raw,Bovine,6.784244634401038,-3.538383116714129
01,raw,Bovine,6.8799953298279695,-1.6730442545010495
01,raw,Bovine,6.497425138881505,-3.8584104481894443
01,raw,Bovine,10.905371579080656,-3.3696839637821667
01,raw,Bovine,9.552634742713453,-2.7759143102443815
01,raw,Bovine,8.081387862606274,-4.36633028017931
01,raw,Bovine,5.261608883016259,-3.3087101895865048
01,raw,Bovine,7.439784478518033,-3.3043899251156335
01,raw,Bovine,8.370706028785408,-2.133555503435254
01,raw,Bovine,12.04812296685563,-3.12629567782014
01,raw,Bovine,10.339775262443752,-3.170738710897909
01,raw,Bovine,10.083513899741336,-3.31191132134501
01,raw,Bovine,9.998991485524417,-3.158936854406302
01,raw,Bovine,9.751516682100965,-3.1725424376641174
01,raw,Bovine,11.31577313998275,-3.415985675476168
01,raw,Bovine,10.274442424839794,-2.700248341892561
01,raw,Bovine,9.110400628949812,-3.548239651489321
01,raw,Bovine,10.143537048613126,-3.326299958622558
01,raw,Bovine,9.291943522145898,-3.6076654768034526
01,raw,Bovine,9.037190165269411,-1.584728939003427
01,raw,Bovine,9.92807274477018,-3.729079369905575
01,raw,Bovine,9.064131758160002,-2.237214772563658
01,raw,Bovine,10.456641677917851,-3.306348876206732
01,raw,Bovine,6.64211880720135,-0.25951665257869233
01,raw,Bovine,8.165369372035554,-2.688435281416354
01,raw,Bovine,7.294395405301093,-2.1208557439628923
01,raw,Bovine,8.993487301619517,-2.0985663633102023
01,raw,Bovine,11.813836273464407,-2.9064750344545227
01,raw,Bovine,10.884857092293124,-3.6491252113439647
01,raw,Bovine,10.433655476400906,-4.0622689780180075
01,raw,Bovine,4.9455034017731805,-0.05364554807297638
01,raw,Bovine,9.029404179650903,-3.110433067877742
01,raw,Bovine,6.586804748769975,-3.261807298289425
01,raw,Bovine,8.325871148248497,0.010882263657315181
01,raw,Bovine,8.876540740093493,-3.0265402569919866
01,raw,Bovine,8.692053222608541,-3.683592382624755
01,raw,Bovine,5.239540552984248,-2.4231336226607443
01,raw,Bovine,9.154419797853494,-1.6271688202788168
01,raw,Bovine,8.569296465914476,-3.3429630559350154
01,raw,Bovine,8.119217722930316,-0.23976100075711315
01,raw,Bovine,8.479864986939534,-3.1872423745764755
01,raw,Bovine,8.39472552755993,-2.4451379559165063
01,raw,Bovine,6.621461796637386,-3.47738439635402
01,raw,Bovine,7.0461884599775315,-2.7464782820939537
01,raw,Bovine,12.101789132795863,-3.278347624151014
01,raw,Bovine,11.077262325857932,-3.2130684241585388
01,raw,Bovine,9.706047399492942,-3.111211336309755
01,raw,Bovine,9.750146452200433,-2.7715375362020356
01,raw,Bovine,9.485141283165156,-3.36152095530006
01,raw,Bovine,8.82178176580741,-2.756501883322131
01,raw,Bovine,8.399278706907754,-3.1621697582629493
01,raw,Bovine,7.6424942150015225,-1.8382501081777831
01,raw,Bovine,7.100731306063245,-1.6536186052042539
01,raw,Bovine,7.094125861642306,-2.806619213764001
01,raw,Bovine,7.626192953662363,-4.315169945450726
01,raw,Bovine,6.878113795077331,-3.1977651014805724
01,raw,Bovine,6.897265504286305,-2.195950539442197
01,raw,Bovine,8.00651287867629,-4.935248441568837
01,raw,Bovine,7.295407982750936,-3.237841592019704
01,raw,Bovine,7.230220579962597,-3.8459814986156515
01,raw,Bovine,8.128749713242218,-3.2012001491590953
01,raw,Bovine,7.789830016793256,-3.3501737961224047
01,raw,Bovine,8.086347963143613,-3.074892284523754
